"COD_IBGE","NM_MUN","NM_MUN_S","BIOMA","NM_UF"
1701051,"ANGICO","ANGICO","Amazonia","TOCANTINS"
1701051,"ANGICO","ANGICO","Cerrado","TOCANTINS"
2400802,"ANGICOS","ANGICOS","Caatinga","RIO GRANDE DO NORTE"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
3300100,"ANGRA DOS REIS","ANGRA DOS REIS","Mata Atlantica","RIO DE JANEIRO"
